a cappella,avb/adj,singing
argent,n,silver
Argentina,n,Silverland
argon,n,idleshaft
arguable,adj,moot
argue,vb,flite
argument,n,flite
aridity,n,drought
aristocrat,n,blue-blood
aristocratic,adj,full-blooded
arithmetic,n,tellcraft 
arm,vb,beweapon
arm,n,handweapon
armadillo,n,shellbear
armillary sphere,n,ringkuggle
arming,n,weaponing
armistice,n,truce
armory,n,shieldhouse
army,n,fyrd
aroma,n,smell
arouse,vb,stir
arquebus,n,matchlock
arrange,vb,fix
arrangement,n,layout
array,vb,lay out
arrest,vb,nab
arrive at,vb,reach
arrogant,adj,proud
arsenal,n,weaponhoard
arsenic,n,sheenshaft
arsonist,n,fire-raiser
art,n,craft
artery,n,loftblood adder
artesian,adj,thringrising
argon,n,idleshaft
arthritis,n,lithbollow 
artichoke,n,eatthistle 
article,n,thing
artificer,n,maker
artificial,adj,manmade
artillery,n,gunware
artisan,n,craftsman
asbestos,n,thrumstone
ascend,vb,climb
Ascension Day,n,Gang-Day 
ascent,n,upgoing
asexual,n,swiveless
Asia,n,the East
asparagus,n,sparrowgrass
asphalt,n,streettar
aspin,n,philipdog
assail,vb,scathe lay into col
assassin,n,hitman
assault,n,onset
assemble,vb,cleave
assembly,n,forgathering
assent,n,samethick 
asset,n,holding
assiduous,adj,hopping
assign,vb,allot
assimilate,vb,inblend
assist,vb,help
assistance,n,help
assistant,n,helper
association,n,hookup
assume,vb,deem
astatine,n,taltershaft
aster,n,starbloom
asterisk,n,star
asteroid,n,roomrock
asthma,n,angbreast 
astonish,vb,astound
astonished,n,astounded
astonishing,adj,amazing
astral,adj,rotherly 
astrarium,n,tungletimer
Dondi dell'Orologio,n,liefbound tungletimer
astrolabe,n,starreckoner
astrology,n,starcraft
astronaut,n,starman
astronomy,n,starlore
astute,adj,shrewd
asymmetrical,adj,lopsided
asylum,n,grith
asymptote,n,ameetend
atavism,n,throwback
atelier,n,workshop
atheïsm,n,godlessness
atheïst,adj,godless
atlas,n,land book
atmosphere,n,welkin
atom,n,grot 
atrocious,adj,frightful
atrophy,n,withering
attack,n,onslaught
attack,vb,raid
attack helicopter,n,strikenchopper
attain,vb,reach
attempt,n,bid
attempt,vb,seek
attend,vb,hearken
attendant,n,steward
attention,n,heed
attest,vb,witness
attic,n,loft
attire,n,cladding
attitude,n,standing
attorney,n,lawman
attract,vb,draw
attractive,adj,comely
attraction,n,wondersight
attribute,n,ownship
aubergine,n,eywort
auction,n,biddingsale
audacious,adj,daring
audacity,n,gall
audible,adj,hearly
audience,n,hearing
audio,n,loud
augment,vb,eke
August,n,Weedmonth
augury,n,ontoken
aunt,n,father's sister
aurora,n,dawning
aurora australis,n,southern lights
aurora borealis,n,northern lights
aurum,n,gold
auscultation,n,harkening
austere,adj,yarewit
austerity,n,hardliness
Autism,n,selfdom
Australia,n,Andland 
Austria,n,Austrick 
autarchy,n,thralldom
author,n,writer
authentic,adj,TRUE
authority,n,headship
autodidact,adj,selftaught
automaker,n,wainwright
automatic,adj,knee-jerk
automobile,n,selfshifter 
autonomy,n,selflaw
autonym,n,selfname
autopsy,n,open bodyunderseeching
Autotune,n,Selftune
autumn,n,fall
auxiliary,adj,backup
avail,vb,dow 
available,adj,free
avalanche,n,snowslide
avant garde,n,forhead
avant garde,adj,cutting edge
avarice,n,greed
avatar,n,fleshbilth
avenge,vb,wreak
avenue,n,drive
average,adj,mean
avert,vb,forestall
aviary,n,birdhouse
aviation,n,flight
aviator,n,birdman
avid,adj,raring
avocado,n,butter pear
avoid,vb,miss
avow,vb,swear
award,vb,bestow
axis,n,axle
azimuth,n,south hern 
Aztec,n,Heronlander 
Aztec,adj,Heronlandish
azure,adj,haw 
bacchanal,n,beership 
bacil,n,rodling
bachelor,n,stag
bacon,n,British
bacteria,n,rodlife
badger,n,brock
badminton,n,featherball 
baggage,n,belongings
baguette,n,French loaf
bail out,vb,pack out
bailiff,n,sheriff
balaclava,n,head-sock
bald,adj,bare
baleen,n,whalebone
ballad,n,jingle
ballet,n,fairtumb
ballistics,n,shootlore
baloney,n,twaddle
baluster,n,holdershaft
bamboo,n,treereed 
banal,adj,everyday
banality,n,everydayness
banalize,vb,hackney
banana,n,moonpod
bandit,n,crook
banish,vb,cast out
banister,n,handsill
bank,n,institution
banknote,n,greenback
bankrupt,adj,broke
banner,n,jack
banquet,n,feed
baobab,n,apebreadwood 
baptism,n,christening
Baptism of the Lord,n,Lord's Christening
bar,n,rod
bar,vb,ban
barb,n,prick
barbarous,adj,heartless
barbeque,n,stickwork
bargain,vb,cheapen
barge,n,scow
barium,n,swereshaft
barometer,n,weatherglass
barracks,n,wyehut
barracuda,n,toothfish
barrage,n,wall
barrel,n,coop
barrelmaker,n,cooper
barren,adj,bare
barricade,n,bar
barrier,n,forsetting
basalt,n,touchstone 
base,n,bedrock
base,vb,ground
base,adj,low
baseball,n,hardball 
baseless,adj,groundless
basement,n,underground
basic,adj,bare-bones
basil,n,mistle 
basis,n,bedrock
basket,n,cawl
basketball,n,hoopball
bass,n,wicker fish-basket
basin,n,bowl
battalion,n,throng
batter,vb,beat
battery,n,cell pack
battery bear,n,moon bear
battle,n,hurly-burly
battlefield,n,wyefield
battleship,n,dreadnaught
Bavarian,adj,Bairish
bay,n,inlay
bayonet,n,goad
beach volley,n,beach flightball 
beak,n,bill
beat,n,smite
beau,n,swain
beautiful,adj,sheen
beauty,n,sheen
bedaub,vb,besmear
beef,n,cowflesh
behavior/behaviour,n,bearing
beige,n,dun 
Belarus,n,Whiterus
belfry,n,bergfrith
Belgium,n,Belgland
belladonna,n,deadly nightshade
bellicose,adj,brawly
belligerent,adj,hotheaded
benefactor,n,well-doer 
benefit,n,wellfare
benefit,vb,help
benevolent,n,kind-hearted
benign,adj,harmless
berate,vb,upbraid
beret,n,flathat
berg,n,barrow
berkelium,n,berkeleyshaft
beryllium,n,greenshaft
besiege,vb,beleaguer
bestiality,vb,deerlust
betray,vb,backstab
betrayer,n,deep throat
beverage,n,drink
biannual,adj,halfyearly
Bible,n,Holy Book
bibulous,adj,spongy
bicameral,adj,two-roomed
Bicol,n,Sidefolk
Bicolano Language,n,Sidefolkish Tung
bicycle,n,two-wheeler
bidet,n,saddlebath
bidirectional,adj,two-way
biker,n,wheeler
bikini,n,two-bit 
bilateral,adj,two-sided
bile bear,n,moon bear
bill,n,reckoning
billabong,n,oxbow
binary,adj,Tweil/Twile 
binoculars,n,field glasses
biochemistry,n,lifeblendlore
biochemical,adj,lifeblendish
biography,n,lifetale
biology,n,lifelore
biome,n,lifehood 
bipedal,adj,two-legged
birthplace,n,birthstead
biscuit,n,cookie
bisect,vb,cleave
bisexual,n,twiluster
bismuth,n,tinglass
bison,n,wisent
bittern,n,havelbleat/havenbleat 
bitumen,n,blacktop
bivalve,n,clam
bizarre,adj,weird
blackpowder,n,blackdust
Blairite,n,Blairer
blasphemy,n,swearing
blatant,adj,glaring
blemish,vb,mar
blemish,n,mar
blemishless,adj,clean
blizzard,n,snowstorm 
block,n,cleat 
blouse,n,keel
bludgeon,vb,club
blue,adj,blow 
blue titmouse,n,hikemouse 
blurb,n,outline
bodyguard,n,holdand 
boffin,n,witshipper
bog,n,mire
bogus,adj,wrong
bohrium,n,bohrshaft
boil,vb,well up
boilersuit,n,overalls
bomb,n,blow sky-high
bonanza,n,windfall
bondage,n,yolk
bonnet,n,hood
boomerang,n,andglider
boondocks,n,nowhere
bordello,n,whorehouse
border,n,brim
boron,n,weldshaft
boss,n,foreman
botany,n,wortlore
bottle,n,flask
bouillon,n,brew
boulevard,n,broadway
boulevardier,n,townfrealser
boundary,n,end
boundary tree,n,meartree 
bountiful,adj,bighearted
bouquet,n,bloomset
bourbon,n,Kentucky lifewater
bourgeois,n,hidebound
boutique,n,wear shop
bovine,adj,cowlike
bowel,n,gut
bra,n,breastshirt
brace,n,fastener
bracelet,n,wristband
bracket,n,winkle 
braggart,n,boaster
braille,n,The Blind's rune
branch,n,bough
brassiere,n,armward
brave,adj,bold
brawl,n,flite
bray,n,heehaw
Brazil,n,Rudland
Brazilian pine,n,glimtree fir
Brazilwood,n,rudwood
breach of peace,n,grithbruck 
breakable,n,brittle
break into pieces,vb,kniss 
breve,adj,short
brewery,n,brewhouse
bribe,vb,buy off
bric-à-brac,n,by hook or by crook
brick,n,bakestone 
bricolage,n,do-it-yourself
brief,adj,short
brief,n,writ
brief,vb,say
briefs,n,legless undershorts
brilliance,n,brightness
brilliant,adj,shining
brisk,adj,swift
broccoli,n,sproutcole
brochure,n,flyer
bromine,n,stenchshaft
browser,n,web crawler
bruise,n,lill
brunch,n,morgenmete
brunette,adj,black
brutal,adj,tough
bryophyte,n,moss
buccaneer,n,freebooter
bucket,n,pail
buckle,n,clasp
buckle,vb,fasten
budget,n,nest egg
buffalo,n,wild ox
buffer,n,ward
buffet,n,foodboard
buffoon,n,clown 
bullet,n,slug
bulletin,n,newtidings
bullion,n,ingots
bulldozer,n,mickle shovel
bully,n,browbeater
bully,vb,manhandle
bun,n,puff
bunch,n,lot
bungalow,n,flackdwelling 
bungler,n,addlebrain
buoy,n,beacon
bureau,n,board
bureaucracy,n,boardom
burgeon,vb,bud
burglar,n,stealer
burglary,n,housebreaking
burgle,vb,steal
burlesque,adj,funnish 
bus,n,folkwain
bust,n,chest
butcher,n,fleshmonger
butler,n,steward
button,n,switcher
buzzard,n,mousehawk 
bypass,n,skirt
by-past,adj,bygone
byte,n,eightcleft
cabaret,n,club
cabbage,n,kole
cabinet,n,hutch
cable,n,wire
caboose,n,ward wagon
cacao,n,brownbean
cache,n,hoard
cacophony,n,rattle
cactus,n,fatthistle
cadaver,n,shell
cadaverous,adj,deathly
cadet,n,forefighter
cadmium,n,cademshaft
cæcum,n,blinde gut
Cæsar,n,overlord
cæsium,n,silverwhite
caesium,n,hewnshaft
café,n,coffeehouse
cafeteria,n,lunchroom
cage,n,bower 
cajole,vb,soft-soap
calamari,n,cuttlefish
calcaneus,n,heelbone
calcium,n,limeshaft
calcium carbonate,n,coalsour lime
calculate,vb,reckon
calculation,n,tale
calculator,n,handreckoner
calculus,n,reckoning
calendar,n,daybook
californium,n,moorshaft
caliphate,n,califdom
calisthenics,n,drills
calligraphy,n,longhand
calligraphy pen,n,longhandwritingise/-iron
callous,adj,hardened
callus,n,war
calm,adj,lown
calm,vb,lull
caluminate,vb,grime
calque,n,loanshift
calyx,n,bloomleaf
camel,n,olvend 
camera,n,shooter
camouflage,n,dapple
camomile,n,maylix
camp,n,leaguer 
campaign,n,bandwagon
campaign,vb,take the stump
campus,n,yard
canal,n,leat
cancer,n,canker
candelabrum,n,glimtree
candidate,n,hopeful
candied,adj,sweetened
candy,n,sweets
canine,adj,doggy
canine,n,hound
cannon,n,gun
cannon ball/cannonball,n,thunderball
cannibal,n,maneater
canoe,n,dugout
cantaloupe,n,rockmug
canvas,n,hemp
canyon,n,gulch
capable,adj,fitworthy
capacitor,n,bearer 
capacity,n,room
cape,n,mantle
capital city,n,headburg
capitalism,n,wealthwield
capitalization,n,blockwrit
